word,log_freq,entropy,entropy_targeted,rounds,rounds_targeted
aboon,0.0,4.064286026080631,4.038789533472632,4.0,
abord,1.5,4.72839238824429,4.736147133322096,4.0,
abore,0.0,5.167244443514891,5.301262391368735,3.0,
aborn,1.07,4.80499932528806,4.91077993056698,4.0,
abort,3.27,4.859575702386502,5.092671748172646,4.0,4.0
about,6.4,4.565318280026676,4.6852914359853015,4.0,3.0
above,5.2,4.410290046852502,4.4969075548322,4.0,3.0
abram,2.9,4.095835097453024,3.9207072931547553,4.0,
abray,0.0,4.180059823234785,4.0455714310999165,4.0,
abrim,0.0,4.634501003337222,4.534427798927493,4.0,
abrin,1.12,4.839896963793452,4.8517860532748855,4.0,
